trading_day,scan_id,observed_at,stage,seconds
2026-08-01,2026-08-01_001941,2026-08-01T00:20:08.335722-04:00,Activity trace,0.0649
2026-08-01,2026-08-01_001941,2026-08-01T00:20:08.335722-04:00,Excel scanner_output,0.7996
2026-08-01,2026-08-01_002154,2026-08-01T00:22:28.402493-04:00,Paper session lifecycle,0.7723
2026-08-01,2026-08-01_002154,2026-08-01T00:22:28.402493-04:00,Market Data,4.4236
2026-08-01,2026-08-01_002154,2026-08-01T00:22:28.402493-04:00,Indicators,6.5506
2026-08-01,2026-08-01_002154,2026-08-01T00:22:28.402493-04:00,Strategy,0.1729
2026-08-01,2026-08-01_002154,2026-08-01T00:22:28.402493-04:00,Entries,0.0694
2026-08-01,2026-08-01_002154,2026-08-01T00:22:28.402493-04:00,Entry V2 Shadow,0.3435
2026-08-01,2026-08-01_002154,2026-08-01T00:22:28.402493-04:00,Risk,0.0456
2026-08-01,2026-08-01_002154,2026-08-01T00:22:28.402493-04:00,Risk V2 Independent Shadow,0.003
2026-08-01,2026-08-01_002154,2026-08-01T00:22:28.402493-04:00,Dashboard,0.0575
2026-08-01,2026-08-01_002154,2026-08-01T00:22:28.402493-04:00,Paper position lifecycle,0.0392
2026-08-01,2026-08-01_002154,2026-08-01T00:22:28.402493-04:00,Auto paper entries,0.0076
2026-08-01,2026-08-01_002154,2026-08-01T00:22:28.402493-04:00,Telegram,0.0145
2026-08-01,2026-08-01_002154,2026-08-01T00:22:28.402493-04:00,Entry/Exit V2 Shadow,0.0308
2026-08-01,2026-08-01_002154,2026-08-01T00:22:28.402493-04:00,Learning Engine,1.7288
2026-08-01,2026-08-01_002154,2026-08-01T00:22:28.402493-04:00,Quote attribution,0.0046
2026-08-01,2026-08-01_002154,2026-08-01T00:22:28.402493-04:00,Market opportunity audit,0.0098
2026-08-01,2026-08-01_002154,2026-08-01T00:22:28.402493-04:00,Option liquidity audit,0.0038
2026-08-01,2026-08-01_002154,2026-08-01T00:22:28.402493-04:00,Candidate funnel,0.0018
2026-08-01,2026-08-01_002154,2026-08-01T00:22:28.402493-04:00,Dashboard state,0.0676
2026-08-01,2026-08-01_002154,2026-08-01T00:22:28.402493-04:00,Engine Health,0.0111
2026-08-01,2026-08-01_002154,2026-08-01T00:22:28.402493-04:00,Candidate snapshot,0.2322
2026-08-01,2026-08-01_002154,2026-08-01T00:22:28.402493-04:00,Signal lifecycle,0.0383
2026-08-01,2026-08-01_002154,2026-08-01T00:22:28.402493-04:00,Recommendation outcomes,0.1147
2026-08-01,2026-08-01_002154,2026-08-01T00:22:28.402493-04:00,Candidate evidence,2.9194
2026-08-01,2026-08-01_002154,2026-08-01T00:22:28.402493-04:00,Candidate intelligence,0.0533
2026-08-01,2026-08-01_002154,2026-08-01T00:22:28.402493-04:00,Activity trace,0.1008
2026-08-01,2026-08-01_002154,2026-08-01T00:22:28.402493-04:00,Excel scanner_output,1.0914
