trading_day,scan_id,observed_at,symbol,score,category_score,setup,action,blocked_reason,top_candidate,candidate_scan_count,candidate_best_score,candidate_score_delta,candidate_strengthening,market_move_pct,final_outcome
2026-08-01,2026-08-01_000919,2026-08-01T00:09:41.143204-04:00,TSM,-6.8,-5,EMA_REJECTION_SHORT,STALE_STOCK_DATA,LOW_RR,,,,,,-2.98,NO_REPLAY
2026-08-01,2026-08-01_000919,2026-08-01T00:09:41.143204-04:00,INTC,-7.5,-6,NO_ENTRY,STALE_STOCK_DATA,NO_ENTRY_TRIGGER,,,,,,-5.72,NO_REPLAY
2026-08-01,2026-08-01_000919,2026-08-01T00:09:41.143204-04:00,AMAT,0.0,4,NO_ENTRY,NO_TRADE_MARKET_CLOSED,NO_DIRECTIONAL_EDGE,,,,,,-2.12,NO_REPLAY
2026-08-01,2026-08-01_000919,2026-08-01T00:09:41.143204-04:00,LRCX,-6.8,-6,EMA_REJECTION_SHORT,STALE_STOCK_DATA,RISK_REJECTED,BEARISH_TOP_2,,,,,-5.32,NO_REPLAY
2026-08-01,2026-08-01_000919,2026-08-01T00:09:41.143204-04:00,MRVL,-4.0,-5,NO_ENTRY,STALE_STOCK_DATA,NO_ENTRY_TRIGGER,,,,,,-3.93,NO_REPLAY
2026-08-01,2026-08-01_000919,2026-08-01T00:09:41.143204-04:00,ORCL,-5.5,-6,EMA_REJECTION_SHORT,STALE_STOCK_DATA,LOW_RR,,,,,,-0.33,NO_REPLAY
2026-08-01,2026-08-01_000919,2026-08-01T00:09:41.143204-04:00,PANW,1.8,-5,NO_ENTRY,NO_TRADE_MARKET_CLOSED,NO_DIRECTIONAL_EDGE,,,,,,2.53,NO_REPLAY
2026-08-01,2026-08-01_000919,2026-08-01T00:09:41.143204-04:00,SOXL,-4.5,-6,EMA_REJECTION_SHORT,STALE_STOCK_DATA,RISK_REJECTED,BEARISH_TOP_3,,,,,-9.86,NO_REPLAY
2026-08-01,2026-08-01_001200,2026-08-01T00:12:21.902897-04:00,QQQ,-9.2,-5,EMA_REJECTION_SHORT,STALE_STOCK_DATA,LOW_RR,,,,,,-0.69,NO_REPLAY
2026-08-01,2026-08-01_001200,2026-08-01T00:12:21.902897-04:00,SPY,-9.2,-6,VWAP_REJECTION,STALE_STOCK_DATA,LOW_RR,,,,,,0.13,NO_REPLAY
2026-08-01,2026-08-01_001200,2026-08-01T00:12:21.902897-04:00,NVDA,-1.8,-4,NO_ENTRY,NO_TRADE_MARKET_CLOSED,NO_DIRECTIONAL_EDGE,,,,,,1.15,NO_REPLAY
2026-08-01,2026-08-01_001200,2026-08-01T00:12:21.902897-04:00,AAPL,1.2,4,NO_ENTRY,NO_TRADE_MARKET_CLOSED,NO_DIRECTIONAL_EDGE,,,,,,0.04,NO_REPLAY
2026-08-01,2026-08-01_001200,2026-08-01T00:12:21.902897-04:00,MSFT,7.8,4,EMA_PULLBACK,STALE_STOCK_DATA,LOW_RR,BULLISH_TOP_2,,,,,2.45,NO_REPLAY
2026-08-01,2026-08-01_001200,2026-08-01T00:12:21.902897-04:00,AMZN,2.2,-3,NO_ENTRY,STALE_STOCK_DATA,NO_ENTRY_TRIGGER,,,,,,3.98,NO_REPLAY
2026-08-01,2026-08-01_001200,2026-08-01T00:12:21.902897-04:00,META,0.0,-4,NO_ENTRY,NO_TRADE_MARKET_CLOSED,NO_DIRECTIONAL_EDGE,,,,,,1.64,NO_REPLAY
2026-08-01,2026-08-01_001200,2026-08-01T00:12:21.902897-04:00,TSLA,-1.5,-5,NO_ENTRY,NO_TRADE_MARKET_CLOSED,NO_DIRECTIONAL_EDGE,,,,,,-0.5,NO_REPLAY
2026-08-01,2026-08-01_001200,2026-08-01T00:12:21.902897-04:00,AMD,-6.5,-7,NO_ENTRY,STALE_STOCK_DATA,NO_ENTRY_TRIGGER,,,,,,-6.14,NO_REPLAY
2026-08-01,2026-08-01_001200,2026-08-01T00:12:21.902897-04:00,AVGO,1.2,3,NO_ENTRY,NO_TRADE_MARKET_CLOSED,NO_DIRECTIONAL_EDGE,,,,,,-0.89,NO_REPLAY
2026-08-01,2026-08-01_001200,2026-08-01T00:12:21.902897-04:00,MU,-8.5,-7,NO_ENTRY,STALE_STOCK_DATA,NO_ENTRY_TRIGGER,,,,,,-10.06,NO_REPLAY
2026-08-01,2026-08-01_001200,2026-08-01T00:12:21.902897-04:00,PLTR,7.2,4,EMA_PULLBACK,STALE_STOCK_DATA,LOW_RR,BULLISH_TOP_3,,,,,0.13,NO_REPLAY
2026-08-01,2026-08-01_001200,2026-08-01T00:12:21.902897-04:00,NFLX,5.2,6,EMA_PULLBACK,STALE_STOCK_DATA,LOW_RR,,,,,,-0.72,NO_REPLAY
2026-08-01,2026-08-01_001200,2026-08-01T00:12:21.902897-04:00,CRWD,11.0,6,EMA_PULLBACK,STALE_STOCK_DATA,LOW_RR,BULLISH_TOP_1,,,,,1.93,NO_REPLAY
2026-08-01,2026-08-01_001200,2026-08-01T00:12:21.902897-04:00,SMCI,0.2,-4,NO_ENTRY,NO_TRADE_MARKET_CLOSED,NO_DIRECTIONAL_EDGE,,,,,,-0.66,NO_REPLAY
2026-08-01,2026-08-01_001200,2026-08-01T00:12:21.902897-04:00,SPCX,-1.2,-4,NO_ENTRY,NO_TRADE_MARKET_CLOSED,NO_DIRECTIONAL_EDGE,,,,,,-4.2,NO_REPLAY
2026-08-01,2026-08-01_001200,2026-08-01T00:12:21.902897-04:00,SMH,-2.2,2,NO_ENTRY,STALE_STOCK_DATA,NO_ENTRY_TRIGGER,,,,,,-2.22,NO_REPLAY
2026-08-01,2026-08-01_001200,2026-08-01T00:12:21.902897-04:00,ARM,-6.5,-7,EMA_REJECTION_SHORT,STALE_STOCK_DATA,RISK_REJECTED,BEARISH_TOP_1,,,,,-7.58,NO_REPLAY
2026-08-01,2026-08-01_001200,2026-08-01T00:12:21.902897-04:00,TSM,-6.8,-5,EMA_REJECTION_SHORT,STALE_STOCK_DATA,LOW_RR,,,,,,-2.98,NO_REPLAY
2026-08-01,2026-08-01_001200,2026-08-01T00:12:21.902897-04:00,INTC,-7.5,-6,NO_ENTRY,STALE_STOCK_DATA,NO_ENTRY_TRIGGER,,,,,,-5.72,NO_REPLAY
2026-08-01,2026-08-01_001200,2026-08-01T00:12:21.902897-04:00,AMAT,0.0,4,NO_ENTRY,NO_TRADE_MARKET_CLOSED,NO_DIRECTIONAL_EDGE,,,,,,-2.12,NO_REPLAY
2026-08-01,2026-08-01_001200,2026-08-01T00:12:21.902897-04:00,LRCX,-6.8,-6,EMA_REJECTION_SHORT,STALE_STOCK_DATA,RISK_REJECTED,BEARISH_TOP_2,,,,,-5.32,NO_REPLAY
2026-08-01,2026-08-01_001200,2026-08-01T00:12:21.902897-04:00,MRVL,-4.0,-5,NO_ENTRY,STALE_STOCK_DATA,NO_ENTRY_TRIGGER,,,,,,-3.93,NO_REPLAY
2026-08-01,2026-08-01_001200,2026-08-01T00:12:21.902897-04:00,ORCL,-5.5,-6,EMA_REJECTION_SHORT,STALE_STOCK_DATA,LOW_RR,,,,,,-0.33,NO_REPLAY
2026-08-01,2026-08-01_001200,2026-08-01T00:12:21.902897-04:00,PANW,1.8,-5,NO_ENTRY,NO_TRADE_MARKET_CLOSED,NO_DIRECTIONAL_EDGE,,,,,,2.53,NO_REPLAY
2026-08-01,2026-08-01_001200,2026-08-01T00:12:21.902897-04:00,SOXL,-4.5,-6,EMA_REJECTION_SHORT,STALE_STOCK_DATA,RISK_REJECTED,BEARISH_TOP_3,,,,,-9.86,NO_REPLAY
2026-08-01,2026-08-01_001740,2026-08-01T00:18:14.308463-04:00,QQQ,-9.2,-5,EMA_REJECTION_SHORT,STALE_STOCK_DATA,LOW_RR,,,,,,-0.69,NO_REPLAY
2026-08-01,2026-08-01_001740,2026-08-01T00:18:14.308463-04:00,SPY,-9.2,-6,VWAP_REJECTION,STALE_STOCK_DATA,LOW_RR,,,,,,0.13,NO_REPLAY
2026-08-01,2026-08-01_001740,2026-08-01T00:18:14.308463-04:00,NVDA,-1.8,-4,NO_ENTRY,NO_TRADE_MARKET_CLOSED,NO_DIRECTIONAL_EDGE,,,,,,1.15,NO_REPLAY
2026-08-01,2026-08-01_001740,2026-08-01T00:18:14.308463-04:00,AAPL,1.2,4,NO_ENTRY,NO_TRADE_MARKET_CLOSED,NO_DIRECTIONAL_EDGE,,,,,,0.04,NO_REPLAY
2026-08-01,2026-08-01_001740,2026-08-01T00:18:14.308463-04:00,MSFT,7.8,4,EMA_PULLBACK,STALE_STOCK_DATA,LOW_RR,BULLISH_TOP_2,,,,,2.45,NO_REPLAY
2026-08-01,2026-08-01_001740,2026-08-01T00:18:14.308463-04:00,AMZN,2.2,-3,NO_ENTRY,STALE_STOCK_DATA,NO_ENTRY_TRIGGER,,,,,,3.98,NO_REPLAY
2026-08-01,2026-08-01_001740,2026-08-01T00:18:14.308463-04:00,META,0.0,-4,NO_ENTRY,NO_TRADE_MARKET_CLOSED,NO_DIRECTIONAL_EDGE,,,,,,1.64,NO_REPLAY
2026-08-01,2026-08-01_001740,2026-08-01T00:18:14.308463-04:00,TSLA,-1.5,-5,NO_ENTRY,NO_TRADE_MARKET_CLOSED,NO_DIRECTIONAL_EDGE,,,,,,-0.5,NO_REPLAY
2026-08-01,2026-08-01_001740,2026-08-01T00:18:14.308463-04:00,AMD,-6.5,-7,NO_ENTRY,STALE_STOCK_DATA,NO_ENTRY_TRIGGER,,,,,,-6.14,NO_REPLAY
2026-08-01,2026-08-01_001740,2026-08-01T00:18:14.308463-04:00,AVGO,1.2,3,NO_ENTRY,NO_TRADE_MARKET_CLOSED,NO_DIRECTIONAL_EDGE,,,,,,-0.89,NO_REPLAY
2026-08-01,2026-08-01_001740,2026-08-01T00:18:14.308463-04:00,MU,-8.5,-7,NO_ENTRY,STALE_STOCK_DATA,NO_ENTRY_TRIGGER,,,,,,-10.06,NO_REPLAY
2026-08-01,2026-08-01_001740,2026-08-01T00:18:14.308463-04:00,PLTR,7.2,4,EMA_PULLBACK,STALE_STOCK_DATA,LOW_RR,BULLISH_TOP_3,,,,,0.13,NO_REPLAY
2026-08-01,2026-08-01_001740,2026-08-01T00:18:14.308463-04:00,NFLX,5.2,6,EMA_PULLBACK,STALE_STOCK_DATA,LOW_RR,,,,,,-0.72,NO_REPLAY
2026-08-01,2026-08-01_001740,2026-08-01T00:18:14.308463-04:00,CRWD,11.0,6,EMA_PULLBACK,STALE_STOCK_DATA,LOW_RR,BULLISH_TOP_1,,,,,1.93,NO_REPLAY
2026-08-01,2026-08-01_001740,2026-08-01T00:18:14.308463-04:00,SMCI,0.2,-4,NO_ENTRY,NO_TRADE_MARKET_CLOSED,NO_DIRECTIONAL_EDGE,,,,,,-0.66,NO_REPLAY
2026-08-01,2026-08-01_001740,2026-08-01T00:18:14.308463-04:00,SPCX,-1.2,-4,NO_ENTRY,NO_TRADE_MARKET_CLOSED,NO_DIRECTIONAL_EDGE,,,,,,-4.2,NO_REPLAY
2026-08-01,2026-08-01_001740,2026-08-01T00:18:14.308463-04:00,SMH,-2.2,2,NO_ENTRY,STALE_STOCK_DATA,NO_ENTRY_TRIGGER,,,,,,-2.22,NO_REPLAY
2026-08-01,2026-08-01_001740,2026-08-01T00:18:14.308463-04:00,ARM,-6.5,-7,EMA_REJECTION_SHORT,STALE_STOCK_DATA,RISK_REJECTED,BEARISH_TOP_1,,,,,-7.58,NO_REPLAY
2026-08-01,2026-08-01_001740,2026-08-01T00:18:14.308463-04:00,TSM,-6.8,-5,EMA_REJECTION_SHORT,STALE_STOCK_DATA,LOW_RR,,,,,,-2.98,NO_REPLAY
2026-08-01,2026-08-01_001740,2026-08-01T00:18:14.308463-04:00,INTC,-7.5,-6,NO_ENTRY,STALE_STOCK_DATA,NO_ENTRY_TRIGGER,,,,,,-5.72,NO_REPLAY
2026-08-01,2026-08-01_001740,2026-08-01T00:18:14.308463-04:00,AMAT,0.0,4,NO_ENTRY,NO_TRADE_MARKET_CLOSED,NO_DIRECTIONAL_EDGE,,,,,,-2.12,NO_REPLAY
2026-08-01,2026-08-01_001740,2026-08-01T00:18:14.308463-04:00,LRCX,-6.8,-6,EMA_REJECTION_SHORT,STALE_STOCK_DATA,RISK_REJECTED,BEARISH_TOP_2,,,,,-5.32,NO_REPLAY
2026-08-01,2026-08-01_001740,2026-08-01T00:18:14.308463-04:00,MRVL,-4.0,-5,NO_ENTRY,STALE_STOCK_DATA,NO_ENTRY_TRIGGER,,,,,,-3.93,NO_REPLAY
2026-08-01,2026-08-01_001740,2026-08-01T00:18:14.308463-04:00,ORCL,-5.5,-6,EMA_REJECTION_SHORT,STALE_STOCK_DATA,LOW_RR,,,,,,-0.33,NO_REPLAY
2026-08-01,2026-08-01_001740,2026-08-01T00:18:14.308463-04:00,PANW,1.8,-5,NO_ENTRY,NO_TRADE_MARKET_CLOSED,NO_DIRECTIONAL_EDGE,,,,,,2.53,NO_REPLAY
2026-08-01,2026-08-01_001740,2026-08-01T00:18:14.308463-04:00,SOXL,-4.5,-6,EMA_REJECTION_SHORT,STALE_STOCK_DATA,RISK_REJECTED,BEARISH_TOP_3,,,,,-9.86,NO_REPLAY
2026-08-01,2026-08-01_001941,2026-08-01T00:20:10.348702-04:00,QQQ,-9.2,-5,EMA_REJECTION_SHORT,STALE_STOCK_DATA,LOW_RR,,,,,,-0.69,NO_REPLAY
2026-08-01,2026-08-01_001941,2026-08-01T00:20:10.348702-04:00,SPY,-9.2,-6,VWAP_REJECTION,STALE_STOCK_DATA,LOW_RR,,,,,,0.13,NO_REPLAY
2026-08-01,2026-08-01_001941,2026-08-01T00:20:10.348702-04:00,NVDA,-1.8,-4,NO_ENTRY,NO_TRADE_MARKET_CLOSED,NO_DIRECTIONAL_EDGE,,,,,,1.15,NO_REPLAY
2026-08-01,2026-08-01_001941,2026-08-01T00:20:10.348702-04:00,AAPL,1.2,4,NO_ENTRY,NO_TRADE_MARKET_CLOSED,NO_DIRECTIONAL_EDGE,,,,,,0.04,NO_REPLAY
2026-08-01,2026-08-01_001941,2026-08-01T00:20:10.348702-04:00,MSFT,7.8,4,EMA_PULLBACK,STALE_STOCK_DATA,LOW_RR,BULLISH_TOP_2,,,,,2.45,NO_REPLAY
2026-08-01,2026-08-01_001941,2026-08-01T00:20:10.348702-04:00,AMZN,2.2,-3,NO_ENTRY,STALE_STOCK_DATA,NO_ENTRY_TRIGGER,,,,,,3.98,NO_REPLAY
2026-08-01,2026-08-01_001941,2026-08-01T00:20:10.348702-04:00,META,0.0,-4,NO_ENTRY,NO_TRADE_MARKET_CLOSED,NO_DIRECTIONAL_EDGE,,,,,,1.64,NO_REPLAY
2026-08-01,2026-08-01_001941,2026-08-01T00:20:10.348702-04:00,TSLA,-1.5,-5,NO_ENTRY,NO_TRADE_MARKET_CLOSED,NO_DIRECTIONAL_EDGE,,,,,,-0.5,NO_REPLAY
2026-08-01,2026-08-01_001941,2026-08-01T00:20:10.348702-04:00,AMD,-6.5,-7,NO_ENTRY,STALE_STOCK_DATA,NO_ENTRY_TRIGGER,,,,,,-6.14,NO_REPLAY
2026-08-01,2026-08-01_001941,2026-08-01T00:20:10.348702-04:00,AVGO,1.2,3,NO_ENTRY,NO_TRADE_MARKET_CLOSED,NO_DIRECTIONAL_EDGE,,,,,,-0.89,NO_REPLAY
2026-08-01,2026-08-01_001941,2026-08-01T00:20:10.348702-04:00,MU,-8.5,-7,NO_ENTRY,STALE_STOCK_DATA,NO_ENTRY_TRIGGER,,,,,,-10.06,NO_REPLAY
2026-08-01,2026-08-01_001941,2026-08-01T00:20:10.348702-04:00,PLTR,7.2,4,EMA_PULLBACK,STALE_STOCK_DATA,LOW_RR,BULLISH_TOP_3,,,,,0.13,NO_REPLAY
2026-08-01,2026-08-01_001941,2026-08-01T00:20:10.348702-04:00,NFLX,5.2,6,EMA_PULLBACK,STALE_STOCK_DATA,LOW_RR,,,,,,-0.72,NO_REPLAY
2026-08-01,2026-08-01_001941,2026-08-01T00:20:10.348702-04:00,CRWD,11.0,6,EMA_PULLBACK,STALE_STOCK_DATA,LOW_RR,BULLISH_TOP_1,,,,,1.93,NO_REPLAY
2026-08-01,2026-08-01_001941,2026-08-01T00:20:10.348702-04:00,SMCI,0.2,-4,NO_ENTRY,NO_TRADE_MARKET_CLOSED,NO_DIRECTIONAL_EDGE,,,,,,-0.66,NO_REPLAY
2026-08-01,2026-08-01_001941,2026-08-01T00:20:10.348702-04:00,SPCX,-1.2,-4,NO_ENTRY,NO_TRADE_MARKET_CLOSED,NO_DIRECTIONAL_EDGE,,,,,,-4.2,NO_REPLAY
2026-08-01,2026-08-01_001941,2026-08-01T00:20:10.348702-04:00,SMH,-2.2,2,NO_ENTRY,STALE_STOCK_DATA,NO_ENTRY_TRIGGER,,,,,,-2.22,NO_REPLAY
2026-08-01,2026-08-01_001941,2026-08-01T00:20:10.348702-04:00,ARM,-6.5,-7,EMA_REJECTION_SHORT,STALE_STOCK_DATA,RISK_REJECTED,BEARISH_TOP_1,,,,,-7.58,NO_REPLAY
2026-08-01,2026-08-01_001941,2026-08-01T00:20:10.348702-04:00,TSM,-6.8,-5,EMA_REJECTION_SHORT,STALE_STOCK_DATA,LOW_RR,,,,,,-2.98,NO_REPLAY
2026-08-01,2026-08-01_001941,2026-08-01T00:20:10.348702-04:00,INTC,-7.5,-6,NO_ENTRY,STALE_STOCK_DATA,NO_ENTRY_TRIGGER,,,,,,-5.72,NO_REPLAY
2026-08-01,2026-08-01_001941,2026-08-01T00:20:10.348702-04:00,AMAT,0.0,4,NO_ENTRY,NO_TRADE_MARKET_CLOSED,NO_DIRECTIONAL_EDGE,,,,,,-2.12,NO_REPLAY
2026-08-01,2026-08-01_001941,2026-08-01T00:20:10.348702-04:00,LRCX,-6.8,-6,EMA_REJECTION_SHORT,STALE_STOCK_DATA,RISK_REJECTED,BEARISH_TOP_2,,,,,-5.32,NO_REPLAY
2026-08-01,2026-08-01_001941,2026-08-01T00:20:10.348702-04:00,MRVL,-4.0,-5,NO_ENTRY,STALE_STOCK_DATA,NO_ENTRY_TRIGGER,,,,,,-3.93,NO_REPLAY
2026-08-01,2026-08-01_001941,2026-08-01T00:20:10.348702-04:00,ORCL,-5.5,-6,EMA_REJECTION_SHORT,STALE_STOCK_DATA,LOW_RR,,,,,,-0.33,NO_REPLAY
2026-08-01,2026-08-01_001941,2026-08-01T00:20:10.348702-04:00,PANW,1.8,-5,NO_ENTRY,NO_TRADE_MARKET_CLOSED,NO_DIRECTIONAL_EDGE,,,,,,2.53,NO_REPLAY
2026-08-01,2026-08-01_001941,2026-08-01T00:20:10.348702-04:00,SOXL,-4.5,-6,EMA_REJECTION_SHORT,STALE_STOCK_DATA,RISK_REJECTED,BEARISH_TOP_3,,,,,-9.86,NO_REPLAY
2026-08-01,2026-08-01_002154,2026-08-01T00:22:30.468924-04:00,QQQ,-9.2,-5,EMA_REJECTION_SHORT,STALE_STOCK_DATA,LOW_RR,,,,,,-0.69,NO_REPLAY
2026-08-01,2026-08-01_002154,2026-08-01T00:22:30.468924-04:00,SPY,-9.2,-6,VWAP_REJECTION,STALE_STOCK_DATA,LOW_RR,,,,,,0.13,NO_REPLAY
2026-08-01,2026-08-01_002154,2026-08-01T00:22:30.468924-04:00,NVDA,-1.8,-4,NO_ENTRY,NO_TRADE_MARKET_CLOSED,NO_DIRECTIONAL_EDGE,,,,,,1.15,NO_REPLAY
2026-08-01,2026-08-01_002154,2026-08-01T00:22:30.468924-04:00,AAPL,1.2,4,NO_ENTRY,NO_TRADE_MARKET_CLOSED,NO_DIRECTIONAL_EDGE,,,,,,0.04,NO_REPLAY
2026-08-01,2026-08-01_002154,2026-08-01T00:22:30.468924-04:00,MSFT,7.8,4,EMA_PULLBACK,STALE_STOCK_DATA,LOW_RR,BULLISH_TOP_2,,,,,2.45,NO_REPLAY
2026-08-01,2026-08-01_002154,2026-08-01T00:22:30.468924-04:00,AMZN,2.2,-3,NO_ENTRY,STALE_STOCK_DATA,NO_ENTRY_TRIGGER,,,,,,3.98,NO_REPLAY
2026-08-01,2026-08-01_002154,2026-08-01T00:22:30.468924-04:00,META,0.0,-4,NO_ENTRY,NO_TRADE_MARKET_CLOSED,NO_DIRECTIONAL_EDGE,,,,,,1.64,NO_REPLAY
2026-08-01,2026-08-01_002154,2026-08-01T00:22:30.468924-04:00,TSLA,-1.5,-5,NO_ENTRY,NO_TRADE_MARKET_CLOSED,NO_DIRECTIONAL_EDGE,,,,,,-0.5,NO_REPLAY
2026-08-01,2026-08-01_002154,2026-08-01T00:22:30.468924-04:00,AMD,-6.5,-7,NO_ENTRY,STALE_STOCK_DATA,NO_ENTRY_TRIGGER,,,,,,-6.14,NO_REPLAY
2026-08-01,2026-08-01_002154,2026-08-01T00:22:30.468924-04:00,AVGO,1.2,3,NO_ENTRY,NO_TRADE_MARKET_CLOSED,NO_DIRECTIONAL_EDGE,,,,,,-0.89,NO_REPLAY
2026-08-01,2026-08-01_002154,2026-08-01T00:22:30.468924-04:00,MU,-8.5,-7,NO_ENTRY,STALE_STOCK_DATA,NO_ENTRY_TRIGGER,,,,,,-10.06,NO_REPLAY
2026-08-01,2026-08-01_002154,2026-08-01T00:22:30.468924-04:00,PLTR,7.2,4,EMA_PULLBACK,STALE_STOCK_DATA,LOW_RR,BULLISH_TOP_3,,,,,0.13,NO_REPLAY
2026-08-01,2026-08-01_002154,2026-08-01T00:22:30.468924-04:00,NFLX,5.2,6,EMA_PULLBACK,STALE_STOCK_DATA,LOW_RR,,,,,,-0.72,NO_REPLAY
2026-08-01,2026-08-01_002154,2026-08-01T00:22:30.468924-04:00,CRWD,11.0,6,EMA_PULLBACK,STALE_STOCK_DATA,LOW_RR,BULLISH_TOP_1,,,,,1.93,NO_REPLAY
2026-08-01,2026-08-01_002154,2026-08-01T00:22:30.468924-04:00,SMCI,0.2,-4,NO_ENTRY,NO_TRADE_MARKET_CLOSED,NO_DIRECTIONAL_EDGE,,,,,,-0.66,NO_REPLAY
2026-08-01,2026-08-01_002154,2026-08-01T00:22:30.468924-04:00,SPCX,-1.2,-4,NO_ENTRY,NO_TRADE_MARKET_CLOSED,NO_DIRECTIONAL_EDGE,,,,,,-4.2,NO_REPLAY
2026-08-01,2026-08-01_002154,2026-08-01T00:22:30.468924-04:00,SMH,-2.2,2,NO_ENTRY,STALE_STOCK_DATA,NO_ENTRY_TRIGGER,,,,,,-2.22,NO_REPLAY
2026-08-01,2026-08-01_002154,2026-08-01T00:22:30.468924-04:00,ARM,-6.5,-7,EMA_REJECTION_SHORT,STALE_STOCK_DATA,RISK_REJECTED,BEARISH_TOP_1,,,,,-7.58,NO_REPLAY
2026-08-01,2026-08-01_002154,2026-08-01T00:22:30.468924-04:00,TSM,-6.8,-5,EMA_REJECTION_SHORT,STALE_STOCK_DATA,LOW_RR,,,,,,-2.98,NO_REPLAY
2026-08-01,2026-08-01_002154,2026-08-01T00:22:30.468924-04:00,INTC,-7.5,-6,NO_ENTRY,STALE_STOCK_DATA,NO_ENTRY_TRIGGER,,,,,,-5.72,NO_REPLAY
2026-08-01,2026-08-01_002154,2026-08-01T00:22:30.468924-04:00,AMAT,0.0,4,NO_ENTRY,NO_TRADE_MARKET_CLOSED,NO_DIRECTIONAL_EDGE,,,,,,-2.12,NO_REPLAY
2026-08-01,2026-08-01_002154,2026-08-01T00:22:30.468924-04:00,LRCX,-6.8,-6,EMA_REJECTION_SHORT,STALE_STOCK_DATA,RISK_REJECTED,BEARISH_TOP_2,,,,,-5.32,NO_REPLAY
