trading_day,scan_id,observed_at,stage,seconds
2026-07-31,2026-07-31_005221,2026-07-31T00:53:16.787577-04:00,Quote attribution,0.0022
2026-07-31,2026-07-31_005221,2026-07-31T00:53:16.787577-04:00,Market opportunity audit,0.0053
2026-07-31,2026-07-31_005221,2026-07-31T00:53:16.787577-04:00,Option liquidity audit,0.0016
2026-07-31,2026-07-31_005221,2026-07-31T00:53:16.787577-04:00,Candidate funnel,0.0007
2026-07-31,2026-07-31_005221,2026-07-31T00:53:16.787577-04:00,Dashboard state,0.0427
2026-07-31,2026-07-31_005221,2026-07-31T00:53:16.787577-04:00,Engine Health,0.0052
2026-07-31,2026-07-31_005221,2026-07-31T00:53:16.787577-04:00,Candidate snapshot,0.1482
2026-07-31,2026-07-31_005221,2026-07-31T00:53:16.787577-04:00,Signal lifecycle,0.0222
2026-07-31,2026-07-31_005221,2026-07-31T00:53:16.787577-04:00,Recommendation outcomes,0.0684
2026-07-31,2026-07-31_005221,2026-07-31T00:53:16.787577-04:00,Candidate evidence,3.2042
2026-07-31,2026-07-31_005221,2026-07-31T00:53:16.787577-04:00,Candidate intelligence,0.0418
2026-07-31,2026-07-31_005221,2026-07-31T00:53:16.787577-04:00,Activity trace,0.0584
2026-07-31,2026-07-31_005221,2026-07-31T00:53:16.787577-04:00,Excel scanner_output,0.8469
2026-07-31,2026-07-31_011159,2026-07-31T01:12:55.208345-04:00,Paper session lifecycle,0.7562
2026-07-31,2026-07-31_011159,2026-07-31T01:12:55.208345-04:00,Market Data,1.5936
2026-07-31,2026-07-31_011159,2026-07-31T01:12:55.208345-04:00,Indicators,3.2419
2026-07-31,2026-07-31_011159,2026-07-31T01:12:55.208345-04:00,Strategy,0.0634
2026-07-31,2026-07-31_011159,2026-07-31T01:12:55.208345-04:00,Entries,0.0396
2026-07-31,2026-07-31_011159,2026-07-31T01:12:55.208345-04:00,Entry V2 Shadow,0.1269
2026-07-31,2026-07-31_011159,2026-07-31T01:12:55.208345-04:00,Risk,0.0246
2026-07-31,2026-07-31_011159,2026-07-31T01:12:55.208345-04:00,Dashboard,0.0519
2026-07-31,2026-07-31_011159,2026-07-31T01:12:55.208345-04:00,Paper position lifecycle,0.0263
2026-07-31,2026-07-31_011159,2026-07-31T01:12:55.208345-04:00,Auto paper entries,0.1638
2026-07-31,2026-07-31_011159,2026-07-31T01:12:55.208345-04:00,Telegram,0.008
2026-07-31,2026-07-31_011159,2026-07-31T01:12:55.208345-04:00,Entry/Exit V2 Shadow,0.0264
2026-07-31,2026-07-31_011159,2026-07-31T01:12:55.208345-04:00,Learning Engine,1.2057
2026-07-31,2026-07-31_011159,2026-07-31T01:12:55.208345-04:00,Quote attribution,0.0037
2026-07-31,2026-07-31_011159,2026-07-31T01:12:55.208345-04:00,Market opportunity audit,0.0046
2026-07-31,2026-07-31_011159,2026-07-31T01:12:55.208345-04:00,Option liquidity audit,0.0025
2026-07-31,2026-07-31_011159,2026-07-31T01:12:55.208345-04:00,Candidate funnel,0.0017
2026-07-31,2026-07-31_011159,2026-07-31T01:12:55.208345-04:00,Dashboard state,0.0546
2026-07-31,2026-07-31_011159,2026-07-31T01:12:55.208345-04:00,Engine Health,0.0093
2026-07-31,2026-07-31_011159,2026-07-31T01:12:55.208345-04:00,Candidate snapshot,0.1723
2026-07-31,2026-07-31_011159,2026-07-31T01:12:55.208345-04:00,Signal lifecycle,0.0198
2026-07-31,2026-07-31_011159,2026-07-31T01:12:55.208345-04:00,Recommendation outcomes,0.0727
2026-07-31,2026-07-31_011159,2026-07-31T01:12:55.208345-04:00,Candidate evidence,2.9434
2026-07-31,2026-07-31_011159,2026-07-31T01:12:55.208345-04:00,Candidate intelligence,0.0465
2026-07-31,2026-07-31_011159,2026-07-31T01:12:55.208345-04:00,Activity trace,0.0616
2026-07-31,2026-07-31_011159,2026-07-31T01:12:55.208345-04:00,Excel scanner_output,0.8302
2026-08-01,2026-08-01_000919,2026-08-01T00:09:39.436327-04:00,Paper session lifecycle,0.8759
2026-08-01,2026-08-01_000919,2026-08-01T00:09:39.436327-04:00,Market Data,1.8081
2026-08-01,2026-08-01_000919,2026-08-01T00:09:39.436327-04:00,Indicators,3.7553
2026-08-01,2026-08-01_000919,2026-08-01T00:09:39.436327-04:00,Strategy,0.0794
2026-08-01,2026-08-01_000919,2026-08-01T00:09:39.436327-04:00,Entries,0.0462
2026-08-01,2026-08-01_000919,2026-08-01T00:09:39.436327-04:00,Entry V2 Shadow,0.1861
2026-08-01,2026-08-01_000919,2026-08-01T00:09:39.436327-04:00,Risk,0.0297
2026-08-01,2026-08-01_000919,2026-08-01T00:09:39.436327-04:00,Risk V2 Independent Shadow,0.0022
2026-08-01,2026-08-01_000919,2026-08-01T00:09:39.436327-04:00,Dashboard,0.0779
2026-08-01,2026-08-01_000919,2026-08-01T00:09:39.436327-04:00,Paper position lifecycle,0.0317
2026-08-01,2026-08-01_000919,2026-08-01T00:09:39.436327-04:00,Auto paper entries,0.1859
2026-08-01,2026-08-01_000919,2026-08-01T00:09:39.436327-04:00,Telegram,0.0086
2026-08-01,2026-08-01_000919,2026-08-01T00:09:39.436327-04:00,Entry/Exit V2 Shadow,0.0174
2026-08-01,2026-08-01_000919,2026-08-01T00:09:39.436327-04:00,Learning Engine,1.2525
2026-08-01,2026-08-01_000919,2026-08-01T00:09:39.436327-04:00,Quote attribution,0.003
2026-08-01,2026-08-01_000919,2026-08-01T00:09:39.436327-04:00,Market opportunity audit,0.0076
2026-08-01,2026-08-01_000919,2026-08-01T00:09:39.436327-04:00,Option liquidity audit,0.0019
2026-08-01,2026-08-01_000919,2026-08-01T00:09:39.436327-04:00,Candidate funnel,0.0013
2026-08-01,2026-08-01_000919,2026-08-01T00:09:39.436327-04:00,Dashboard state,0.0636
2026-08-01,2026-08-01_000919,2026-08-01T00:09:39.436327-04:00,Engine Health,0.0087
2026-08-01,2026-08-01_000919,2026-08-01T00:09:39.436327-04:00,Candidate snapshot,0.1937
2026-08-01,2026-08-01_000919,2026-08-01T00:09:39.436327-04:00,Signal lifecycle,0.0341
2026-08-01,2026-08-01_000919,2026-08-01T00:09:39.436327-04:00,Recommendation outcomes,0.1104
2026-08-01,2026-08-01_000919,2026-08-01T00:09:39.436327-04:00,Candidate evidence,2.8576
2026-08-01,2026-08-01_000919,2026-08-01T00:09:39.436327-04:00,Candidate intelligence,0.0615
2026-08-01,2026-08-01_000919,2026-08-01T00:09:39.436327-04:00,Activity trace,0.0373
2026-08-01,2026-08-01_000919,2026-08-01T00:09:39.436327-04:00,Excel scanner_output,1.1693
2026-08-01,2026-08-01_001200,2026-08-01T00:12:19.989624-04:00,Paper session lifecycle,0.7566
2026-08-01,2026-08-01_001200,2026-08-01T00:12:19.989624-04:00,Market Data,1.9058
2026-08-01,2026-08-01_001200,2026-08-01T00:12:19.989624-04:00,Indicators,3.6517
2026-08-01,2026-08-01_001200,2026-08-01T00:12:19.989624-04:00,Strategy,0.0797
2026-08-01,2026-08-01_001200,2026-08-01T00:12:19.989624-04:00,Entries,0.0429
2026-08-01,2026-08-01_001200,2026-08-01T00:12:19.989624-04:00,Entry V2 Shadow,0.1579
2026-08-01,2026-08-01_001200,2026-08-01T00:12:19.989624-04:00,Risk,0.0287
2026-08-01,2026-08-01_001200,2026-08-01T00:12:19.989624-04:00,Risk V2 Independent Shadow,0.0016
2026-08-01,2026-08-01_001200,2026-08-01T00:12:19.989624-04:00,Dashboard,0.0576
2026-08-01,2026-08-01_001200,2026-08-01T00:12:19.989624-04:00,Paper position lifecycle,0.0337
2026-08-01,2026-08-01_001200,2026-08-01T00:12:19.989624-04:00,Auto paper entries,0.0068
2026-08-01,2026-08-01_001200,2026-08-01T00:12:19.989624-04:00,Telegram,0.0073
2026-08-01,2026-08-01_001200,2026-08-01T00:12:19.989624-04:00,Entry/Exit V2 Shadow,0.0315
2026-08-01,2026-08-01_001200,2026-08-01T00:12:19.989624-04:00,Learning Engine,1.6518
2026-08-01,2026-08-01_001200,2026-08-01T00:12:19.989624-04:00,Quote attribution,0.0034
2026-08-01,2026-08-01_001200,2026-08-01T00:12:19.989624-04:00,Market opportunity audit,0.0061
2026-08-01,2026-08-01_001200,2026-08-01T00:12:19.989624-04:00,Option liquidity audit,0.0021
2026-08-01,2026-08-01_001200,2026-08-01T00:12:19.989624-04:00,Candidate funnel,0.002
2026-08-01,2026-08-01_001200,2026-08-01T00:12:19.989624-04:00,Dashboard state,0.0697
2026-08-01,2026-08-01_001200,2026-08-01T00:12:19.989624-04:00,Engine Health,0.0098
2026-08-01,2026-08-01_001200,2026-08-01T00:12:19.989624-04:00,Candidate snapshot,0.2169
2026-08-01,2026-08-01_001200,2026-08-01T00:12:19.989624-04:00,Signal lifecycle,0.0396
2026-08-01,2026-08-01_001200,2026-08-01T00:12:19.989624-04:00,Recommendation outcomes,0.0958
2026-08-01,2026-08-01_001200,2026-08-01T00:12:19.989624-04:00,Candidate evidence,2.752
2026-08-01,2026-08-01_001200,2026-08-01T00:12:19.989624-04:00,Candidate intelligence,0.0472
2026-08-01,2026-08-01_001200,2026-08-01T00:12:19.989624-04:00,Activity trace,0.0557
2026-08-01,2026-08-01_001200,2026-08-01T00:12:19.989624-04:00,Excel scanner_output,0.9777
